ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000001.SH,20250818,3728.0273,3712.4952,3745.939,3702.3802,3696.7705,31.2568,0.8455,776016669.0,1133941943.2
000002.SH,20250818,3907.7465,3891.608,3926.475,3880.9452,3875.0926,32.6539,0.8427,774900466.0,1131881103.3
000003.SH,20250818,269.9086,267.1508,270.4323,267.1508,267.2754,2.6332,0.9852,841550.0,310554.2
000004.SH,20250818,3267.0492,3255.5568,3285.0484,3239.5803,3232.2183,34.8309,1.0776,474354888.0,840117948.7
000005.SH,20250818,2953.0038,2933.8952,2971.0191,2924.3001,2925.8113,27.1925,0.9294,76627215.0,79049828.9
000006.SH,20250818,4636.4911,4669.0286,4678.9958,4636.4911,4663.649,-27.1579,-0.5823,11032840.0,6313500.1
000007.SH,20250818,4664.8835,4654.0853,4688.3536,4651.3483,4646.423,18.4605,0.3973,68088224.0,44412096.9
000008.SH,20250818,3556.7837,3536.5341,3569.4021,3526.3094,3539.1221,17.6616,0.499,145913502.0,164048568.7
000009.SH,20250818,6123.5103,6095.6253,6163.9131,6070.3136,6063.4546,60.0557,0.9905,143848648.0,238631056.8
000010.SH,20250818,9278.0065,9277.3796,9357.2952,9242.7621,9235.4757,42.5308,0.4605,190192420.0,334844899.8
000015.SH,20250818,3092.7534,3107.6586,3108.3087,3088.0132,3096.5888,-3.8354,-0.1239,40561918.0,37034926.289
000016.SH,20250818,2838.8726,2843.0864,2861.9842,2832.4643,2832.8759,5.9967,0.2117,73385466.0,162158390.204
000017.SH,20250818,3150.7524,3137.6494,3165.9035,3129.0705,3124.3392,26.4132,0.8454,761842485.0,1115906187.328
000018.SH,20250818,5983.9396,5970.4413,6017.6892,5943.5607,5966.8401,17.0995,0.2866,58853804.0,80359249.642
000019.SH,20250818,1176.1216,1176.6153,1183.1655,1174.4429,1172.886,3.2356,0.2759,130577759.0,200192706.373
000020.SH,20250818,1561.9042,1539.6836,1569.5261,1535.0181,1526.6675,35.2367,2.3081,127534051.0,297315126.439
000021.SH,20250818,1031.3922,1032.9157,1038.0773,1030.6691,1029.7111,1.6811,0.1633,94865913.0,142660170.143
000025.SH,20250818,1837.7583,1833.769,1848.6303,1831.3594,1831.0042,6.7541,0.3689,36977181.0,26622154.859
000026.SH,20250818,4203.2897,4260.3386,4262.6611,4197.0535,4191.3893,11.9004,0.2839,22701215.0,44950213.421
000027.SH,20250818,752.3658,753.9963,757.7635,752.3562,753.0094,-0.6436,-0.0855,8456420.0,6819134.545
000028.SH,20250818,3469.2718,3469.1748,3506.3724,3460.2316,3451.7146,17.5572,0.5087,42586462.0,131503486.481
000029.SH,20250818,4464.6408,4468.1291,4489.4472,4448.6184,4455.5327,9.1081,0.2044,84818656.0,95532844.337
000030.SH,20250818,2277.0216,2275.4126,2299.507,2265.3119,2263.8873,13.1343,0.5802,113425459.0,248070144.274
