ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000001.SH,20250819,3727.2879,3728.4851,3746.669,3718.1467,3728.0273,-0.7394,-0.0198,696099750.0,1060899235.7,2025-08-19 15:05:12
000002.SH,20250819,3906.9777,3908.2311,3927.2952,3897.3962,3907.7465,-0.7688,-0.0197,694896948.0,1059470498.4,2025-08-19 15:05:12
000003.SH,20250819,268.9354,269.43,270.5966,268.3857,269.9086,-0.9732,-0.3606,1045291.0,418748.2,2025-08-19 15:05:12
000004.SH,20250819,3268.8415,3268.1635,3287.1014,3259.7472,3267.0492,1.7923,0.0549,449000208.0,814540288.7,2025-08-19 15:05:12
000005.SH,20250819,2949.7608,2947.7291,2957.9666,2941.5401,2953.0038,-3.243,-0.1098,57645254.0,60516262.7,2025-08-19 15:05:12
000006.SH,20250819,4617.4789,4649.1762,4673.734,4616.1136,4636.4911,-19.0122,-0.4101,10701555.0,6236960.6,2025-08-19 15:05:12
000007.SH,20250819,4659.9081,4669.9526,4675.3653,4654.6485,4664.8835,-4.9754,-0.1067,59985110.0,38921331.4,2025-08-19 15:05:12
000008.SH,20250819,3552.5334,3556.207,3573.3545,3544.243,3556.7837,-4.2503,-0.1195,118767624.0,140684392.2,2025-08-19 15:05:12
000009.SH,20250819,6115.5565,6118.8589,6154.7401,6089.3881,6123.5103,-7.9538,-0.1299,119742205.0,210647276.3,2025-08-19 15:05:12
000010.SH,20250819,9215.7994,9291.0076,9343.146,9206.8913,9278.0065,-62.2071,-0.6705,161597488.0,306514035.6,2025-08-19 15:05:12
000015.SH,20250819,3090.8482,3091.7937,3096.8932,3084.4889,3092.7534,-1.9052,-0.0616,32821005.0,28260042.0,2025-08-19 15:05:12
000016.SH,20250819,2812.4225,2843.2849,2858.4124,2812.3039,2838.8726,-26.4501,-0.9317,62843222.0,153139710.5,2025-08-19 15:05:12
000017.SH,20250819,3150.1419,3151.1466,3166.5343,3142.4119,3150.7524,-0.6105,-0.0194,684545058.0,1042890296.5,2025-08-19 15:05:12
000018.SH,20250819,5947.8392,5985.5916,6007.9625,5938.6002,5983.9396,-36.1004,-0.6033,43522874.0,54763065.0,2025-08-19 15:05:12
000019.SH,20250819,1170.9212,1178.3694,1183.2106,1169.9829,1176.1216,-5.2004,-0.4422,112121877.0,185192127.8,2025-08-19 15:05:12
000020.SH,20250819,1559.3574,1558.2475,1570.5779,1551.6116,1561.9042,-2.5468,-0.1631,125823898.0,289192468.0,2025-08-19 15:05:12
000021.SH,20250819,1026.2522,1033.7047,1038.1737,1025.6256,1031.3922,-5.14,-0.4984,79254186.0,129545051.5,2025-08-19 15:05:12
000025.SH,20250819,1833.7484,1840.9009,1845.5213,1832.2354,1837.7583,-4.0099,-0.2182,34032159.0,24630762.5,2025-08-19 15:05:12
000026.SH,20250819,4174.9742,4212.2087,4239.2312,4169.3122,4203.2897,-28.3155,-0.6737,18899784.0,44825539.3,2025-08-19 15:05:12
000027.SH,20250819,750.3729,753.322,754.2207,750.1837,752.3658,-1.9929,-0.2649,7219687.0,5839562.9,2025-08-19 15:05:12
000028.SH,20250819,3434.3095,3480.2394,3509.8746,3434.131,3469.2718,-34.9623,-1.0078,46439280.0,146439758.4,2025-08-19 15:05:12
000029.SH,20250819,4443.5378,4469.0213,4483.3218,4437.9393,4464.6408,-21.103,-0.4727,71717967.0,71959766.3,2025-08-19 15:05:12
000030.SH,20250819,2260.8217,2281.022,2299.1384,2258.8756,2277.0216,-16.1999,-0.7115,101940366.0,243770819.9,2025-08-19 15:05:12
000031.SH,20250819,3209.674,3227.938,3238.2553,3205.2634,3225.9308,-16.2568,-0.5039,127219052.0,169290827.8,2025-08-19 15:05:12
000032.SH,20250819,1843.3017,1852.9841,1853.7973,1841.7109,1853.8779,-10.5762,-0.5705,11486231.0,10671386.6,2025-08-19 15:05:12
000033.SH,20250819,2733.4611,2757.1349,2784.4384,2728.0092,2752.7263,-19.2652,-0.6999,55141143.0,80545874.1,2025-08-19 15:05:12
000034.SH,20250819,2139.2101,2160.5023,2165.3455,2138.8159,2152.6156,-13.4055,-0.6228,40939404.0,49176928.7,2025-08-19 15:05:12
000035.SH,20250819,2885.6371,2873.0342,2898.0095,2850.7106,2871.7768,13.8603,0.4826,22434197.0,42348958.3,2025-08-19 15:05:12
000036.SH,20250819,11341.3535,11258.5919,11393.1111,11256.4121,11226.3612,114.9923,1.0243,7009053.0,26709122.3,2025-08-19 15:05:12
000037.SH,20250819,6874.3554,7027.7475,7151.8069,6873.1652,7011.8194,-137.464,-1.9605,10300481.0,44872368.6,2025-08-19 15:05:12
000038.SH,20250819,5930.985,5968.7021,5992.7207,5922.1638,5965.8923,-34.9073,-0.5851,36483041.0,47104055.3,2025-08-19 15:05:12
000039.SH,20250819,4409.151,4414.261,4473.9624,4395.6893,4426.7467,-17.5957,-0.3975,17964381.0,97566791.6,2025-08-19 15:05:12
000040.SH,20250819,3811.5003,3814.0116,3838.0177,3802.468,3812.5412,-1.0409,-0.0273,14832272.0,23641649.1,2025-08-19 15:05:12
000041.SH,20250819,2500.0309,2504.2433,2511.27,2495.9313,2497.8158,2.2151,0.0887,23213519.0,17187885.9,2025-08-19 15:05:12
000042.SH,20250819,1784.212,1794.9888,1801.085,1782.6294,1793.5018,-9.2898,-0.518,71599350.0,88744879.9,2025-08-19 15:05:12
000043.SH,20250819,2346.428,2372.1513,2386.2166,2345.4312,2365.5023,-19.0743,-0.8064,26478510.0,90407089.4,2025-08-19 15:05:12
000044.SH,20250819,4313.9386,4317.9196,4338.0288,4301.5493,4315.067,-1.1284,-0.0262,98754267.0,153374325.1,2025-08-19 15:05:12
000045.SH,20250819,5283.6707,5278.7746,5320.7481,5258.0264,5283.2622,0.4085,0.0077,164215278.0,253887425.4,2025-08-19 15:05:12
000046.SH,20250819,4779.0298,4779.3405,4805.6585,4765.3047,4779.5287,-0.4989,-0.0104,262969545.0,407261750.4,2025-08-19 15:05:12
000047.SH,20250819,3665.3893,3683.384,3700.3658,3659.9932,3680.9105,-15.5212,-0.4217,325812766.0,560401460.9,2025-08-19 15:05:12
000048.SH,20250819,1436.7352,1447.1815,1452.0737,1435.8024,1445.0548,-8.3196,-0.5757,43056111.0,84065661.4,2025-08-19 15:05:12
000049.SH,20250819,1747.6826,1757.4984,1775.1816,1746.2788,1757.9851,-10.3025,-0.586,28305655.0,86737828.0,2025-08-19 15:05:12
000050.SH,20250819,2203.2065,2228.3661,2239.742,2203.2065,2224.081,-20.8745,-0.9386,62843222.0,153139710.5,2025-08-19 15:05:12
000051.SH,20250819,8675.9862,8721.7425,8756.7032,8661.0417,8714.9931,-39.0069,-0.4476,161597488.0,306514035.6,2025-08-19 15:05:12
000052.SH,20250819,2899.7458,2924.0236,2935.9165,2898.5595,2918.3377,-18.5919,-0.6371,62843222.0,153139710.5,2025-08-19 15:05:12
000053.SH,20250819,12223.189,12288.7523,12337.0505,12206.1879,12270.9873,-47.7983,-0.3895,161597488.0,306514035.6,2025-08-19 15:05:12
000054.SH,20250819,1482.3354,1500.0606,1507.4312,1481.5983,1499.2477,-16.9123,-1.1281,66044559.0,101230931.1,2025-08-19 15:05:12
000055.SH,20250819,1496.5504,1503.1779,1511.8231,1494.3264,1500.7509,-4.2005,-0.2799,66321411.0,100027880.9,2025-08-19 15:05:12
000056.SH,20250819,1166.3812,1172.751,1177.7093,1164.7647,1171.9121,-5.5309,-0.472,71126906.0,112907946.5,2025-08-19 15:05:12
000057.SH,20250819,3475.2423,3505.5138,3530.9393,3472.1599,3497.5086,-22.2663,-0.6366,64750470.0,174847748.0,2025-08-19 15:05:12
000058.SH,20250819,4607.8295,4636.6269,4649.8643,4601.5655,4631.8177,-23.9882,-0.5179,120485753.0,119608763.7,2025-08-19 15:05:12
000059.SH,20250819,2980.8859,2995.784,3016.8148,2976.461,2993.1846,-12.2987,-0.4109,227999528.0,466179676.6,2025-08-19 15:05:12
000060.SH,20250819,4307.4251,4328.2437,4341.5492,4300.8036,4326.068,-18.6429,-0.4309,283734810.0,410940692.3,2025-08-19 15:05:12
000062.SH,20250819,2031.1593,2051.3906,2057.71,2030.6889,2045.8274,-14.6681,-0.717,25809973.0,53642931.1,2025-08-19 15:05:12
000063.SH,20250819,3777.0697,3806.4819,3823.3993,3772.9992,3802.9744,-25.9047,-0.6812,62218326.0,98685745.9,2025-08-19 15:05:12
000064.SH,20250819,3313.1836,3332.0445,3355.3328,3309.7719,3326.4653,-13.2817,-0.3993,79337109.0,205444195.1,2025-08-19 15:05:12
000065.SH,20250819,3451.1941,3460.2284,3480.5967,3443.8468,3457.5393,-6.3452,-0.1835,116693343.0,194576168.0,2025-08-19 15:05:12
000066.SH,20250819,2936.5305,2945.5422,2964.2763,2929.3682,2947.7533,-11.2228,-0.3807,55090379.0,77284524.1,2025-08-19 15:05:12
000067.SH,20250819,7606.8674,7700.0735,7741.1169,7600.9031,7694.0762,-87.2088,-1.1335,35244791.0,136988864.0,2025-08-19 15:05:12
000068.SH,20250819,3177.5178,3191.7289,3215.549,3171.2882,3188.9023,-11.3845,-0.357,35266183.0,71411670.0,2025-08-19 15:05:12
000069.SH,20250819,4989.7723,5017.3407,5067.9241,4987.7101,5005.1875,-15.4152,-0.308,28924551.0,95430189.6,2025-08-19 15:05:12
000070.SH,20250819,2615.1432,2626.466,2629.006,2611.9266,2627.6963,-12.5531,-0.4777,11486231.0,10671386.6,2025-08-19 15:05:12
000071.SH,20250819,3758.991,3777.5533,3804.7092,3746.6602,3778.2338,-19.2428,-0.5093,55141143.0,80545874.1,2025-08-19 15:05:12
000072.SH,20250819,2823.6748,2841.7168,2847.2171,2820.6359,2835.512,-11.8372,-0.4175,40939404.0,49176928.7,2025-08-19 15:05:12
000073.SH,20250819,3345.8803,3332.7468,3362.3027,3304.841,3332.5601,13.3202,0.3997,22434197.0,42348958.3,2025-08-19 15:05:12
000074.SH,20250819,7283.8538,7218.2188,7312.6425,7212.3731,7186.0879,97.7659,1.3605,7009053.0,26709122.3,2025-08-19 15:05:12
000075.SH,20250819,7843.202,7916.191,8036.4199,7839.085,7906.7148,-63.5128,-0.8033,10300481.0,44872368.6,2025-08-19 15:05:12
000076.SH,20250819,5823.3422,5850.8301,5874.4701,5808.9211,5852.2961,-28.9539,-0.4947,35187415.0,46213560.7,2025-08-19 15:05:12
000077.SH,20250819,4958.6307,4975.1939,5027.852,4948.2139,4984.4451,-25.8144,-0.5179,17964381.0,97566791.6,2025-08-19 15:05:12
000078.SH,20250819,3205.2693,3213.9965,3224.5055,3198.5025,3211.1837,-5.9144,-0.1842,14832272.0,23641649.1,2025-08-19 15:05:12
000079.SH,20250819,2427.5449,2442.1471,2447.9433,2423.7618,2435.2753,-7.7304,-0.3174,23213519.0,17187885.9,2025-08-19 15:05:12
