TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002052.SZ,SZ,同洲电子,18.25,10.006027221679688,2090659056,12581315578.75,13732024452.0,16.677631378173828,3.0,92500.0,143300.0,35040000.0,19,家电行业,6/7,U,20250819,,,
002272.SZ,SZ,川润股份,18.02,10.01220989227295,1724061280,6968394330.96,8737488873.92,24.96869659423828,3.0,92500.0,100748.0,177140330.0,2,工程机械,3/3,U,20250819,,,
003019.SZ,SZ,宸展光电,39.59,10.002778053283691,287300864,6746913151.700001,6980781179.200001,4.258256435394287,1.0,92500.0,92500.0,82962389.0,0,光学光电,1/1,U,20250819,,,
603222.SH,SH,济民健康,10.78,10.0,486803056,5660476829.7,5660476754.24,8.669953346252441,4.0,92502.0,93546.0,67921718.0,1,化学制药,4/4,U,20250819,,,
600590.SH,SH,泰豪科技,11.72,10.046948432922363,252930234,9886634809.560001,9995633399.68,2.55830454826355,1.0,92503.0,92503.0,179997166.0,0,电网设备,1/1,U,20250819,,,
688098.SH,SH,申联生物,15.4,20.03117561340332,295948896,6323917600.0,6323917600.0,4.763864994049072,3.0,92503.0,93318.0,93407083.0,1,农药兽药,3/3,U,20250819,,,
603158.SH,SH,腾龙股份,12.85,10.017123222351074,442763632,6306771082.099999,6306771159.2,7.06141471862793,1.0,93000.0,93000.0,187525035.0,0,汽车零部件,4/5,U,20250819,,,
603626.SH,SH,科森科技,11.46,9.980806350708008,1855983760,6358921247.400001,6358921316.160001,29.46660614013672,3.0,93001.0,102037.0,142142986.0,6,消费电子,3/3,U,20250819,,,
605068.SH,SH,明新旭腾,25.54,9.991386413574219,319500176,4141059073.44,4141059073.44,7.756145477294922,2.0,93001.0,111434.0,8277514.0,7,汽车零部件,2/2,U,20250819,,,
002158.SZ,SZ,汉钟精机,23.85,10.009225845336914,1045502656,12726411253.650002,12753170834.400002,8.265769004821777,3.0,93018.0,102703.0,76517955.0,3,通用设备,3/3,U,20250819,,,
600557.SH,SH,康缘药业,19.83,9.983360290527344,773900288,11226929122.98,11226929003.999998,6.916330337524414,1.0,93024.0,133548.0,43938520.0,5,中药,1/1,U,20250819,,,
002518.SZ,SZ,科士达,33.74,10.009780883789062,666586144,19069777618.36,19644274469.120003,3.5057156085968018,1.0,93030.0,93030.0,209204870.0,0,电源设备,2/3,U,20250819,,,
002871.SZ,SZ,伟隆股份,16.98,9.974093437194824,156322586,2602924105.44,4276478288.1,6.0826592445373535,2.0,93039.0,93039.0,45468398.0,0,通用设备,3/4,U,20250819,,,
