ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000001.SH,20250820,3766.2104,3716.6847,3767.43,3704.9912,3727.2879,38.9225,1.0443,679836426.0,1017500164.1
000002.SH,20250820,3947.8247,3895.8468,3949.1114,3883.5859,3906.9777,40.847,1.0455,679001463.0,1016481243.6
000003.SH,20250820,269.432,268.7133,269.4388,267.7431,268.9354,0.4966,0.1847,721226.0,288369.2
000004.SH,20250820,3311.1083,3255.4701,3311.2304,3245.3615,3268.8415,42.2668,1.293,435782177.0,787144215.2
000005.SH,20250820,2974.0292,2943.9042,2976.7926,2935.9075,2949.7608,24.2684,0.8227,58879165.0,61174488.4
000006.SH,20250820,4619.0364,4596.2935,4623.6364,4570.2125,4617.4789,1.5575,0.0337,8154269.0,4869029.0
000007.SH,20250820,4686.0036,4658.4218,4686.0335,4636.3973,4659.9081,26.0955,0.56,56857900.0,36953608.0
000008.SH,20250820,3578.3149,3548.9884,3581.5751,3536.6077,3552.5334,25.7815,0.7257,120162915.0,127358823.4
000009.SH,20250820,6193.722,6103.3441,6193.722,6084.9048,6115.5565,78.1655,1.2781,122577641.0,209569552.0
000010.SH,20250820,9344.0583,9194.2145,9346.2412,9173.588,9215.7994,128.2589,1.3917,152220327.0,293673852.5
000015.SH,20250820,3113.5072,3089.2166,3115.6204,3081.9329,3090.8482,22.659,0.7331,36146681.0,29777078.8
000016.SH,20250820,2846.9907,2808.4369,2848.0328,2799.4026,2812.4225,34.5682,1.2291,58597343.0,139705685.8
000017.SH,20250820,3183.0739,3141.1718,3184.1108,3131.2831,3150.1419,32.932,1.0454,669767705.0,1002659615.8
000018.SH,20250820,5995.9343,5939.2067,6000.8396,5920.6384,5947.8392,48.0951,0.8086,44563783.0,53273046.3
000019.SH,20250820,1183.1105,1169.7803,1183.5097,1165.714,1170.9212,12.1893,1.041,112543367.0,173595308.8
000020.SH,20250820,1581.8897,1551.5335,1581.8897,1543.5585,1559.3574,22.5323,1.445,117426978.0,271752239.3
000021.SH,20250820,1036.9244,1025.5776,1037.3466,1021.8437,1026.2522,10.6722,1.0399,79191247.0,120119101.6
000025.SH,20250820,1839.313,1832.2178,1839.5409,1823.2385,1833.7484,5.5646,0.3035,29336801.0,21516969.2
000026.SH,20250820,4221.3997,4158.9125,4223.8165,4156.2321,4174.9742,46.4255,1.112,16102951.0,36581098.8
000027.SH,20250820,755.4554,750.315,755.4554,747.3209,750.3729,5.0825,0.6773,7941821.0,6320217.3
000028.SH,20250820,3486.7821,3428.0552,3487.0065,3424.5044,3434.3095,52.4726,1.5279,36690297.0,125773324.5
