TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
000650.SZ,SZ,仁和药业,6.38,10.0,203970450,8494241620.92,8931605971.2,2.4012792110443115,1.0,92500.0,92500.0,255961835.0,0,中药,1/1,U,20250820,,,
603626.SH,SH,科森科技,12.61,10.034903526306152,174924760,6997032890.9,6997032966.559999,2.4999847412109375,4.0,92502.0,92502.0,358838230.0,0,消费电子,4/4,U,20250820,,,
600590.SH,SH,泰豪科技,12.89,9.982934951782227,176492162,10873611151.470001,10993491000.16,1.6231237649917603,2.0,92503.0,92503.0,211173299.0,0,电网设备,2/2,U,20250820,,,
603998.SH,SH,方盛制药,12.66,9.991312026977539,1390335760,5558770017.6,5558770017.6,25.59128189086914,1.0,92503.0,140445.0,17165694.0,11,中药,1/1,U,20250820,,,
605028.SH,SH,世茂能源,24.42,10.0,332760000,3907200000.0000005,3907200000.0000005,8.960490226745605,2.0,92504.0,95740.0,199651717.0,1,电力行业,2/2,U,20250820,,,
002553.SZ,SZ,南方精工,33.0,10.0,807245168,8276400000.0,11484000000.0,9.84001350402832,2.0,93021.0,93021.0,244519308.0,0,汽车零部件,2/2,U,20250820,,,
600218.SH,SH,全柴动力,10.96,10.0401611328125,281940912,4774175112.240001,4774175123.200001,5.930708408355713,2.0,93036.0,93036.0,87594512.0,0,汽车零部件,2/2,U,20250820,,,
002476.SZ,SZ,宝莫股份,5.67,10.097086906433105,649393056,3469642816.5,3470040000.0,18.92213249206543,1.0,93112.0,133100.0,32157694.0,5,化学制品,1/1,U,20250820,,,
603909.SH,SH,建发合诚,11.33,10.0,226623012,2953426676.2,2953426676.2,7.731926441192627,1.0,93118.0,144200.0,766859.0,19,工程咨询,1/1,U,20250820,,,
603038.SH,SH,华立股份,17.49,10.0,440577600,4699162583.94,4699162548.96,9.544745445251465,2.0,93225.0,93334.0,82048248.0,1,装修装饰,2/2,U,20250820,,,
600980.SH,SH,北矿科技,28.02,10.011778831481934,679913056,5262010744.32,5303163998.5199995,13.064457893371582,2.0,93252.0,95131.0,36411261.0,4,小金属,2/2,U,20250820,,,
000536.SZ,SZ,华映科技,5.57,10.079051971435547,782771792,15390369614.12,15406802696.0,5.163661003112793,1.0,93315.0,93315.0,178992674.0,0,光学光电,1/1,U,20250820,,,
002981.SZ,SZ,朝阳科技,37.47,10.011743545532227,261140778,4474904023.05,5067934219.05,5.977001667022705,1.0,93342.0,93342.0,82370413.0,0,消费电子,2/3,U,20250820,,,
000420.SZ,SZ,吉林化纤,4.64,9.952607154846191,601519984,11405250583.519999,11409149079.039999,5.328500747680664,1.0,93415.0,93415.0,161405337.0,0,化纤行业,1/1,U,20250820,,,
603928.SH,SH,兴业股份,17.67,10.024907112121582,274272544,4630953600.0,4630953600.0,6.0358476638793945,1.0,93456.0,93456.0,112587762.0,0,塑料制品,1/1,U,20250820,,,
002066.SZ,SZ,瑞泰科技,14.63,10.0,156115810,3379530000.0,3436689410.0,4.69478702545166,1.0,93521.0,93521.0,43358082.0,0,装修建材,1/1,U,20250820,,,
603158.SH,SH,腾龙股份,14.14,10.038910865783691,1617610384,6939902186.84,6939902271.68,23.80446434020996,2.0,93534.0,131137.0,51689448.0,9,汽车零部件,5/6,U,20250820,,,
600671.SH,SH,天目药业,18.58,10.00592041015625,63449243,2261567503.14,2262651683.2999997,2.892815113067627,1.0,93553.0,93553.0,62212343.0,0,中药,1/1,U,20250820,,,
